id,plot,block,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,accumulatedCov,speciesRichness,shannon
L2_24_2020,L2_24,2,4,south,land,6,50,30,4,dry_grassland,8,2020,80,Jakob Huber,87,19,0.995713876
L2_24_2021,L2_24,2,4,south,land,6,50,30,4,dry_grassland,8,2021,70,Markus Bauer,79,14,1.808623835
L3_01_2018,L3_01,3,4,south,land,1,0,15,1,hay_meadow,4,2018,25,Jakob Huber,27,8,0.948415334
L3_01_2019,L3_01,3,4,south,land,1,0,15,1,hay_meadow,4,2019,80,Linda Weggler,81,10,1.198712309
L3_01_2020,L3_01,3,4,south,land,1,0,15,1,hay_meadow,4,2020,70,Katharina Beck,75.5,14,1.139274599
L3_01_2021,L3_01,3,4,south,land,1,0,15,1,hay_meadow,4,2021,80,Markus Bauer,82.5,16,2.090842947
L3_02_2018,L3_02,3,4,south,land,1,0,15,4,dry_grassland,8,2018,20,Jakob Huber,26,11,1.54019625
L3_02_2019,L3_02,3,4,south,land,1,0,15,4,dry_grassland,8,2019,85,Linda Weggler,84.5,12,1.021447235
L3_02_2020,L3_02,3,4,south,land,1,0,15,4,dry_grassland,8,2020,75,Katharina Beck,77.5,15,1.358370909
L3_02_2021,L3_02,3,4,south,land,1,0,15,4,dry_grassland,8,2021,80,Markus Bauer,87,17,1.818279606
L3_03_2018,L3_03,3,4,south,land,1,0,15,2,hay_meadow,8,2018,20,Jakob Huber,26,10,1.007006111
L3_03_2019,L3_03,3,4,south,land,1,0,15,2,hay_meadow,8,2019,70,Linda Weggler,71.5,15,1.563344024
L3_03_2020,L3_03,3,4,south,land,1,0,15,2,hay_meadow,8,2020,70,Katharina Beck,74.5,15,1.437581382
L3_03_2021,L3_03,3,4,south,land,1,0,15,2,hay_meadow,8,2021,70,Markus Bauer,81.5,19,2.343991232
L3_04_2018,L3_04,3,4,south,land,1,0,15,3,dry_grassland,4,2018,25,Jakob Huber,30,12,1.251327411
L3_04_2019,L3_04,3,4,south,land,1,0,15,3,dry_grassland,4,2019,70,Linda Weggler,70,12,1.230082261
L3_04_2020,L3_04,3,4,south,land,1,0,15,3,dry_grassland,4,2020,75,Katharina Beck,75,16,1.32381441
L3_04_2021,L3_04,3,4,south,land,1,0,15,3,dry_grassland,4,2021,80,Markus Bauer,94.5,16,1.858138985
L3_05_2018,L3_05,3,4,south,land,2,25,15,2,hay_meadow,8,2018,25,Jakob Huber,26.5,11,1.521955901
L3_05_2019,L3_05,3,4,south,land,2,25,15,2,hay_meadow,8,2019,70,Linda Weggler,69,11,1.487894185
L3_05_2020,L3_05,3,4,south,land,2,25,15,2,hay_meadow,8,2020,65,Katharina Beck,65.5,19,1.828529797
L3_05_2021,L3_05,3,4,south,land,2,25,15,2,hay_meadow,8,2021,70,Markus Bauer,71,18,1.952398068
