id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L2_03_2018,L2_03,2,1,0,15,1,hay_meadow,4,2018,Jakob_Huber,71,4,0.488125265,2018,Jakob_Huber2018
L2_03_2019,L2_03,2,1,0,15,1,hay_meadow,4,2019,Linda_Weggler,57,17,1.484247167,2019,Linda_Weggler2019
L2_03_2020,L2_03,2,1,0,15,1,hay_meadow,4,2020,Jakob_Huber,67.5,22,2.103141312,2020,Jakob_Huber2020
L2_03_2021,L2_03,2,1,0,15,1,hay_meadow,4,2021,Markus_Bauer,94.5,19,2.292505944,2021,Markus_Bauer2021
L2_04_2018,L2_04,2,1,0,15,3,dry_grassland,4,2018,Jakob_Huber,41.5,5,0.737210256,2018,Jakob_Huber2018
L2_04_2019,L2_04,2,1,0,15,3,dry_grassland,4,2019,Linda_Weggler,72,16,1.601066727,2019,Linda_Weggler2019
L2_04_2020,L2_04,2,1,0,15,3,dry_grassland,4,2020,Jakob_Huber,87,18,1.7679505,2020,Jakob_Huber2020
L2_04_2021,L2_04,2,1,0,15,3,dry_grassland,4,2021,Markus_Bauer,76,15,1.63734867,2021,Markus_Bauer2021
L2_05_2018,L2_05,2,2,25,15,1,hay_meadow,4,2018,Jakob_Huber,29.5,7,0.668277652,2018,Jakob_Huber2018
L2_05_2019,L2_05,2,2,25,15,1,hay_meadow,4,2019,Linda_Weggler,72,25,1.818293844,2019,Linda_Weggler2019
L2_05_2020,L2_05,2,2,25,15,1,hay_meadow,4,2020,Jakob_Huber,66.5,20,1.892051024,2020,Jakob_Huber2020
L2_05_2021,L2_05,2,2,25,15,1,hay_meadow,4,2021,Markus_Bauer,74,14,2.118631178,2021,Markus_Bauer2021
L2_06_2018,L2_06,2,2,25,15,4,dry_grassland,8,2018,Jakob_Huber,32.5,6,0.394992289,2018,Jakob_Huber2018
L2_06_2019,L2_06,2,2,25,15,4,dry_grassland,8,2019,Linda_Weggler,71,22,1.712524816,2019,Linda_Weggler2019
L2_06_2020,L2_06,2,2,25,15,4,dry_grassland,8,2020,Jakob_Huber,71.5,22,2.114982109,2020,Jakob_Huber2020
L2_06_2021,L2_06,2,2,25,15,4,dry_grassland,8,2021,Markus_Bauer,90.5,19,2.296741207,2021,Markus_Bauer2021
L2_07_2018,L2_07,2,2,25,15,3,dry_grassland,4,2018,Jakob_Huber,29.5,8,1.238626522,2018,Jakob_Huber2018
L2_07_2019,L2_07,2,2,25,15,3,dry_grassland,4,2019,Linda_Weggler,80,10,1.096153658,2019,Linda_Weggler2019
L2_07_2020,L2_07,2,2,25,15,3,dry_grassland,4,2020,Jakob_Huber,78,16,1.37325748,2020,Jakob_Huber2020
L2_07_2021,L2_07,2,2,25,15,3,dry_grassland,4,2021,Markus_Bauer,91,15,1.772280952,2021,Markus_Bauer2021
L2_08_2018,L2_08,2,2,25,15,2,hay_meadow,8,2018,Jakob_Huber,19.5,5,1.282897234,2018,Jakob_Huber2018
L2_08_2019,L2_08,2,2,25,15,2,hay_meadow,8,2019,Linda_Weggler,61.5,17,1.718057785,2019,Linda_Weggler2019
L2_08_2020,L2_08,2,2,25,15,2,hay_meadow,8,2020,Jakob_Huber,70,17,2.131968888,2020,Jakob_Huber2020
L2_08_2021,L2_08,2,2,25,15,2,hay_meadow,8,2021,Markus_Bauer,90.5,17,2.11292317,2021,Markus_Bauer2021
